寒い,cold,samui,Season
冬,Winter,fuyu,Season
秋,Autumn,aki,Season
馬,horse,uma,Animals
大きい,big,ookii,Animals
小さい,small,chiisai,Animals
パンダ,panda,panda,Animals
軽い,light (weight),karui,Animals
重い,heavy,omoi,Animals
かわいい,cute,kawaii,Animals
虎,tiger,tora,Animals
サル,monkey,saru,Animal 2
荷物,luggage,nimotsu,Animal 2
ライオン,lion,raion,Animal 2
像,elephant,zou,Animal 2
ウサギ,rabbit,usagi,Animal 2
動物,animal,doubutsu,Animal 2
黒い,black,kuroi,Color
赤い,red,akai,Color
刺身,sashimi,sashimi,Color
色,colour,iro,Color
寿司,sushi,sushi,Color
白い,white,shiroi,Color
バナナ,banana,banana,Color
黄色い,yellow,kiiroi,Color
青い,blue,aoi,Color
ジュース,juice,jūsu,Color
上着,jacket,uwagi,Clothing
靴下,socks,kutsushita,Clothing
緑,green,midori,Clothing
長い,long,nagai,Clothing
ネクタイ,necktie,nekutai,Clothing
高い,expensive,takai,Clothing
安い,cheap,yasui,Clothing
セーター,sweater,sētā,Clothing
オレンジ色,orange,orenjiiro,Clothing
靴,shoes,kutsu,Clothing
コート,coat,kōto,Clothing
ジーンズ,jeans,jīnzu,Clothing
シャツ,shirt,shatsu,Clothing
洋服,Western clothes,youfuku,Clothing
短い,short,mijikai,Clothing
ズボン,pants,zubon,Clothing
静か,quiet,shizuka,Adjective
町,town,machi,Adjective
にぎやか,lively,nigiyaka,Adjective
コンビニ,convenience store,kombini,Adjective
簡単,simple,kantan,Adjective
便利,convenient,benri,Adjective
人,person,jin,Adjective 2
お酒,alcohol,osake,Adjective 2
親切,kind,shinsetsu,Adjective 2
きれい,pretty,kirei,Adjective 2
有名,famous,yuumei,Adjective 2
料理,cuisine,ryouri,Adjective 2
買う,to buy,kau,Verb 1
夫,my husband,otto,Verb 1
コーヒー,coffee,kōhī,Verb 1
飲む,to drink,nomu,Verb 1
書く,to write,kaku,Verb 1
奥さん,your wife,okusan,Verb 1
読む,to read,yomu,Verb 1
音楽,music,ongaku,Verb 1
パン,bread,pan,Verb 1
妻,my wife,tsuma,Verb 1
お茶,tea,ocha,Verb 1
ラジオ,radio,rajio,Verb 1
聞く,to listen,kiku,Verb 1
ご主人,your husband,goshujin,Verb 1
牛乳,milk,gyuunyuu,Verb 1
出かける,to go out, dekakeru,Verb 2
寝る,to sleep,neru,Verb 2
見る,to see, miru,Verb 2
卵,egg,tamago,Verb 2
起きる,to get up,okiru,Verb 2
晩ご飯,dinner,bangohan,Verb 2
食べる,to eat,taberu,Verb 2
朝ご飯,breakfast,asagohan,Verb 2
昼ご飯,lunch,hirugohan,Verb 2
出迎える, to greet; to welcome,demukaeru,Verb 2
中国,China,chuugoku,Verb 3
出勤する,to go to work,shukkinsuru,Verb 3
ジョギングする, to jog,jogingusuru,Verb 3
旅行する,to travel,ryokousuru,Verb 3
散歩する,to go for a walk,sanposuru,Verb 3
来る,to come,kuru,Verb 3
掃除する, to clean, soujisuru,Verb 3
泳ぐ,to swim,oyogu,Daily Life
遊ぶ,to play,asobu,Daily Life
プール,pool,pūru,Daily Life
スーパー,supermarket,sūpā,Daily Life
働く,to work,hataraku,Daily Life
休む,to rest,yasumu,Daily Life
カレー,curry,karē,Daily Life
勉強する,to study,benkyousuru,Daily Life
食堂,cafeteria,shokudou,Daily Life
スプーン,spoon,supūn,Tableware
箸,chopsticks,hashi,Tableware
スープ,soup,sūpu,Tableware
ナイフ,knife,naifu,Tableware
鶏肉,chicken meat,toriniku,Tableware
ラーメン,Ramen,rāmen,Tableware
紙,paper,kami,Tableware
作る,to make,tsukuru,Tableware
切る,to cut, kiru,Tableware
はがき,postcard,hagaki,Counter
出す,to take out,dasu,Counter
兄弟,siblings,kyoudai,Counter
動物園,zoo,doubutsuen,Counter
蛇,snake,hebi,Counter
友達,friend,tomodachi,
両親,parents,ryoushin,
北京,Beijing,pekin,
大阪,Osaka,oosaka,
行く,to go,iku,
国,country,kuni,
帰る,to return,kaeru,
美術館,art museum,bijutsukan,
イギリス,England,igirisu,
フランス,France,furansu,
ドイツ,Germany,doitsu,
家族,family,kazoku,
オーストラリア,Australia,ōsutoraria,
バス,bus,basu,
電車,train,densha,
飛行機,airplane,hikouki,
タクシー,taxi,takushī,
自転車,bicycle,jitensha,
船,ship,bune,
地下鉄,subway,chikatetsu,
ホテル,hotel,hoteru,
空港,airport,kuukou,
駅,station,eki,
寮,dormitory,ryou,
お寺,temple,otera,
サッカー,soccer,sakkā,
フランス語,French language,furansugo,
スポーツ,sports,supōtsu,
アルバイト,part-time job,arubaito,
授業,lesson,jugyou,
山,mountain,yama,
登る,to climb,noboru,
服,clothes,fuku,
いつも,always,itsumo,
よく,often,yoku,
時々,sometimes,tokidoki,
たまに,occasionally,tamani,
あまり,not much,amari,
ほとんど,rarely,hotondo,
全然,not at all,zenzen,
歌う,to sing,utau,
運転する,to drive,untensuru,
歌,song,uta,
暗殺教室,Assassination Classroom,ansatsukyoushitsu,
字,character,ji,
地図,map,chizu,
使う,to use,tsukau,
分かる,to understand,wakaru,
面白い,interesting,omoshiroi,
つまらない,boring,tsumaranai,
うるさい,noisy,urusai,
野菜,vegetable,yasai,
サラダ,salad,sarada,
まずい,bad tasting,mazui,
飴,candy,ame,
甘い,sweet,amai,
海老,shrimp,ebi,
おいしい,delicious,oishii,
お菓子,sweets,okashi,
テニス,tennis,tenisu,
好き,like,zuki,
水泳,swimming,suiei,
ジョギング,jogging,jogingu,
嫌い,hate,kirai,
バドミントン,badminton,badominton,
ハイキング,hiking,haikingu,
野球,baseball,yakyuu,
上手,good at,jouzu,
バスケ,basketball,basuke,
スキー,skiing,sukī,
卓球,table tennis,takkyuu,
下手,bad at,beta,
人気,popular,ninki,
太極拳,Tai Chi,taikyokuken,
北海道,Hokkaido,hokkaidou,
食べ物,food,tabemono,
多い,many,ooi,
沖縄,Okinawa,okinawa,
少ない,few,sukunai,
目,eye,me,
鼻,nose,hana,
手,hand,te,
足,foot,ashi,
太い,fat,futoi,
細い,thin,hosoi,
髪,hair,kami,
尻尾,tail (animal),shippo,
低い,low,hikui,
頭,head,atama,
お腹,stomach,onaka,
痛い,painful,itai,
妹,younger sister,imouto,
難しい,difficult,muzukashii,
若い,young,wakai,
広い,wide,hiroi,
速い,fast,hayai,
易しい,easy,yasashii,
狭い,narrow,semai,
遅い,slow,osoi,
スカート,skirt,sukāto,
イチゴ,strawberry,ichigo,
京都,Kyoto,kyouto,
果物,fruit,kudamono,
スイカ,watermelon,suika,
優しい,gentle,yasashii,
店,shop,ten,
明るい,bright,akarui,
都市,city,toshi,
ハンサム,handsome,hansamu,
暗い,dark,kurai,
帽子,hat,boushi,
携帯電話,mobile phone,keitaidenwa,
クラスメート,classmate,kurasumēto,
恋人,lover,koibito,
音,sound,on,
冷たい,ice cold,tsumetai,
教師,teacher,kyoushi,
空,sky,sora,
飛ぶ,to fly,tobu,
走る,to run,hashiru,
運動場,playground,undoujou,
顔,face,kao,
お風呂,bath,ofuro,
入る,to enter,hairu,
借りる,to borrow,kariru,
持つ,to carry,motsu,
着物,kimono,kimono,
着る,to wear,kiru,
左,left,hidari,
右,right,migi,
東,East,higashi,
西,West,nishi,
南,South,minami,
北,North,kita,
道,street,michi,
曲がる,to turn,magaru,
交差点,intersection,kousaten,
信号,traffic light,shingou,
座る,to sit,suwaru,
角,corner,kaku,
ドア,door,doa,
開ける,to open,akeru,
窓,window,mado,
閉める,to close,shimeru,
名前,name,namae,
待つ,to wait,matsu,
写真,picture,shashin,
撮る,to take (a picture),toru,
タバコ,cigarette,tabako,
吸う,to breathe in,suu,
ごみ,trash,gomi,
捨てる,to throw away,suteru,
置く,to put down,oku,
クーラー,cooler,kūrā,
つける,to turn on,tsukeru,
電気,light (electricity),denki,
消す,to turn off,kesu,
電話,phone,denwa,
止める,to stop,tomeru,
歯,teeth,ha,
磨く,to polish,migaku,
話す,to talk,hanasu,
教える,to teach,oshieru,
通う,to go back and forth,kayou,
降る,to fall (rain/snow),furu,
桜,cherry blossom,sakura,
知る,to know,shiru,
眼鏡,glasses,megane,
かける,to make a call,kakeru,
マスク,mask,masuku,
かぶる,to put on (hat),kaburu,
結婚する,to marry,kekkonsuru,
始まる,to start,hajimaru,
住む,to live,sumu,
廊下,hallway,rouka,
ページ,page,pēji,
貼る,to stick,haru,
乗る,to ride,noru,
切手,stamp,kitte,
脱ぐ,to take off,nugu,
平仮名,hiragana,hiragana,
片仮名,katakana,katakana,
覚える,to remember,oboeru,
スーツ,suit,sūtsu,
水,water,mizu,
相談する,to discuss,soudansuru,
渡す,to deliver,watasu,
ケーキ,cake,kēki,
泣く,to cry,naku,
笑う,to laugh/smile,warau,
叫ぶ,to shout,sakebu,
夢,dream,yume,
赤ちゃん,baby,akachan,
八百屋,greengrocer,yaoya,
アパート,apartment,apāto,
飼う,to raise,kau,
パスポート,passport,pasupōto,
テーブル,table,tēburu,
